STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,sex,Sex,indic_il,Income and living conditions indicator,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BG,Bulgaria,2009,,5787,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BG,Bulgaria,2010,,5990,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BG,Bulgaria,2011,,5918,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BG,Bulgaria,2012,,5786,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BG,Bulgaria,2013,,6021,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BG,Bulgaria,2014,,6929,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BG,Bulgaria,2015,,6971,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BG,Bulgaria,2016,,6873,,b,break in time series,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BG,Bulgaria,2017,,7656,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BG,Bulgaria,2018,,7336,,,,,
